track_id,available_markets,popularity,genre,artist_name,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2QjOHCTQ1Jl3zawyYOpxh6,TN,93,Pop,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
3xKsf9qdS1CyvXSMEid6g8,MZ,91,Rap,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
7KA4W4McWYRpgf0fWsJZWB,CV,92,Pop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
7MXVkk9YMctZqd1Srtv4MB,EE,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7KA4W4McWYRpgf0fWsJZWB,BF,92,Rap,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
3xKsf9qdS1CyvXSMEid6g8,BE,91,Pop,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
3xKsf9qdS1CyvXSMEid6g8,KG,91,Pop,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
2QjOHCTQ1Jl3zawyYOpxh6,PA,93,Alternative,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7MXVkk9YMctZqd1Srtv4MB,NP,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7KA4W4McWYRpgf0fWsJZWB,MO,92,Rap,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
7KA4W4McWYRpgf0fWsJZWB,RO,92,Pop,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
3w3y8KPTfNeOKPiqUTakBh,BZ,91,Pop,Bruno Mars,Locked Out Of Heaven,0.049,0.726,233478,0.698,0.0,F,0.309,-4.165,Major,0.0431,143.994,4/4,0.867
3xKsf9qdS1CyvXSMEid6g8,FR,91,R&B,Frank Ocean,Pink + White,0.67,0.544,184516,0.552,4.57e-05,A,0.415,-7.45,Major,0.0991,159.738,3/4,0.554
7MXVkk9YMctZqd1Srtv4MB,BB,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,GW,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7KA4W4McWYRpgf0fWsJZWB,PK,92,Rap,"Tyler, The Creator",See You Again,0.371,0.558,180387,0.559,7.49e-06,F#,0.109,-9.222,Major,0.0959,78.558,4/4,0.62
7MXVkk9YMctZqd1Srtv4MB,FM,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,MG,94,R&B,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
7MXVkk9YMctZqd1Srtv4MB,TL,94,Pop,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,BS,93,Children’s Music,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
7MXVkk9YMctZqd1Srtv4MB,AO,94,Rap,The Weeknd,Starboy,0.141,0.678,230453,0.588,6.35e-06,G,0.137,-7.015,Major,0.276,186.005,4/4,0.486
2QjOHCTQ1Jl3zawyYOpxh6,TW,93,Children’s Music,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
2QjOHCTQ1Jl3zawyYOpxh6,CL,93,Rock,The Neighbourhood,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,A#,0.101,-2.81,Major,0.0336,124.053,4/4,0.398
